radius,polar_sin_cos_median_s,polar_sin_cos_mean_s,polar_sin_cos_min_s,polar_sin_cos_max_s,midpoint_median_s,midpoint_mean_s,midpoint_min_s,midpoint_max_s,speedup_midpoint_vs_polar (median)
5,0.00010104349348694086,0.00013127450074534863,8.05200106697157e-05,0.0002387830027146265,1.7431506421416998e-05,2.328920236323029e-05,1.4220000593923032e-05,5.73940051253885e-05,5.796601340363508
10,0.00015592050476698205,0.00016540780197829008,0.00015142200572881848,0.0002017419901676476,2.9085502319503576e-05,3.22655017953366e-05,2.7322006644681096e-05,5.308000254444778e-05,5.360763690934366
20,0.0003108134987996891,0.00033180940081365404,0.000296757003525272,0.00044320899178273976,5.426999996416271e-05,5.9818998852279035e-05,4.9170994316227734e-05,7.8783996286802e-05,5.727169688685008
40,0.000674396003887523,0.0007222393018309958,0.0005917590024182573,0.0009831420029513538,0.00011503550194902346,0.00014075469807721673,9.322899859398603e-05,0.00040395699033979326,5.86250324866121
80,0.0014659185035270639,0.0015440200993907637,0.0012302310060476884,0.002073493000352755,0.00026810899726115167,0.000265226599003654,0.00019566499395295978,0.000368795997928828,5.467621446881864
160,0.002804106996336486,0.002902711999195162,0.002463886994519271,0.003455775004113093,0.0004713154994533397,0.0005069499005912803,0.00037279899697750807,0.0006863950111437589,5.949532743117635
320,0.006622701992455404,0.006740657999762334,0.005653852000250481,0.007936238995171152,0.001089094002963975,0.0011066099046729504,0.0008459039963781834,0.0014598870038753375,6.080927793589613
640,0.007079297000018414,0.008375362098740879,0.005524364998564124,0.016429244991741143,0.0017535354927531444,0.0018023897966486402,0.0016689379990566522,0.002101343998219818,4.037156378798778
1280,0.016610484002740122,0.01648018959822366,0.015196951004327275,0.01730011700419709,0.0034130415006075054,0.0035588947983342225,0.0014110129995970055,0.00606630599941127,4.8667688335414425
2560,0.012788300009560771,0.012274480701307766,0.00945422200311441,0.013950252992799506,0.00543525649845833,0.005302929499885067,0.002473872998962179,0.00788888000533916,2.352842044011737
5120,0.024029983003856614,0.024831877803080715,0.021864454000024125,0.029266956000356004,0.006457209005020559,0.007561486998747568,0.00586153099720832,0.012809628999093547,3.721419422102182
